HLA	rs4140646_A	rs9261484_T	rs504594_A
B_4601	5.6146E-05	0.005850256	-0.005142925
A_2410	5.6146E-05	0.005850256	-0.005142925
A_220	0.024645434	-0.000383439	-0.005513193
DQA1_104	-0.001523044	-0.001930278	-0.006043825
B_3512	-0.001523044	-0.008368207	-0.006043825
B_5108	-0.003031266	0.005661865	-0.006174997
DPB1_1601	0.005607384	0.002602279	-0.006208026
B_3543	-0.002418048	-0.002668388	-0.006298858
B_5105	0.002555579	0.002248391	-0.006298858
DRB1_1403	0.007529205	0.002248391	-0.006298858
B_5002	-0.002418048	0.002248391	-0.006298858
B_5106	0.002555579	0.002248391	-0.006298858
DRB1_1405	-0.002418048	-0.002668388	-0.006298858
B_6701	-0.002418048	0.012081949	-0.006298858
C_403	0.012502831	-0.002668388	-0.006298858
A_102	-0.000958531	-0.005967684	-0.006752721
A_302	-0.015071136	0.015117855	-0.007132248
DQA1_503	-0.004227941	-0.008758716	-0.007273395
DRB1_302	0.004386751	-0.000242488	-0.007273395
B_1503	-0.001526907	-0.000269776	-0.007436372
A_211	-0.010532678	0.034798662	-0.00756594
B_3910	-0.001837552	-0.002175427	-0.008132015
B_4404	-0.002634514	-0.007827779	-0.009201473
A_7401	-0.001355848	-0.013107532	-0.009551772
C_1801	-0.004779227	0.004507652	-0.009622196
C_704	-0.032159882	-0.032610426	-0.009661212
A_6901	-0.001749136	-0.013875289	-0.009915284
B_5702	0.001953507	0.011577797	-0.010089052
B_4002	0.006799807	-0.006459544	-0.010395962
DRB1_1503	0.006117123	0.010193009	-0.010487906
A_2402	-0.066882517	-0.150180132	-0.010708843
B_5601	-0.005420157	-0.009087163	-0.010957111
DRB1_1404	0.002264626	0.002666799	-0.01098879
DRB1_806	0.00215834	0.004761606	-0.011129394
B_5301	-0.01362564	-0.019571772	-0.011592224
DPB1_2601	0.000210155	0.007407969	-0.012091161
B_4405	-0.007511731	-0.004141581	-0.012925828
DPB1_1401	-0.006963883	0.004897475	-0.01356105
A_2501	-0.06714046	-0.080826325	-0.01374541
A_6601	-0.019031261	-0.03272691	-0.014443245
A_3303	0.029489164	-0.014636366	-0.014974173
B_3901	0.000280716	0.03292535	-0.015101638
C_1701	-0.022900155	-0.018591037	-0.015174856
B_2702	-0.023295527	0.00196404	-0.016010601
B_1517	0.019681339	0.008689983	-0.016316046
DRB1_1602	-0.002724441	-0.00509064	-0.016341411
A_2403	-0.016938287	-0.021121558	-0.016369608
DQB1_504	0.00082849	-0.004901347	-0.016418669
B_3906	-0.007919308	-0.03083877	-0.017116871
DPB1_501	-0.015074081	0.017656934	-0.018769704
C_302	-0.000546522	-0.006592013	-0.0189994
B_5001	0.003745935	0.061792509	-0.019021338
DPB1_2301	-0.014266866	-0.008036075	-0.019351919
DRB1_804	0.013250633	0.026729925	-0.019642793
DPB1_1301	-0.007621376	-0.017408641	-0.020006976
DPB1_1901	-0.006128961	0.026462823	-0.02017792
B_3701	-0.030555642	-0.027744448	-0.020460491
B_3502	-0.016804059	-0.015404265	-0.020889946
DQA1_505	-0.005792426	-0.00190807	-0.02183863
B_3801	-0.009484429	-0.028376549	-0.022006978
DRB1_1102	0.005356159	0.007927028	-0.022639396
C_1402	0.016444344	0.045612883	-0.022674814
A_6802	-0.040550499	-0.039241408	-0.024695736
DPB1_1001	-0.014450778	-0.003006499	-0.024933275
A_2601	-0.049627741	-0.059531344	-0.025084417
B_5801	-0.010747088	0.01603779	-0.025263214
DPB1_901	-0.004530367	0.003693595	-0.025880228
B_4102	-0.023610489	-0.015412318	-0.02696695
DQA1_601	-0.002950876	0.0005437	-0.027259642
DRB1_803	-0.002410926	0.00065081	-0.027420196
A_3301	-0.015462031	-0.041273992	-0.028450952
A_301	-0.125770301	-0.200811774	-0.028916486
DRB1_1001	-0.009442996	-0.007409847	-0.029051918
B_1401	-0.01528725	-0.02347587	-0.029431346
A_3001	-0.029150189	-0.064590525	-0.029633425
A_2902	-0.04376018	-0.114146023	-0.029913806
B_5201	-0.015216178	0.003564669	-0.030697354
C_1202	-0.015226865	0.002407144	-0.030711825
DRB1_1103	-0.011448014	-0.006161147	-0.032474212
DQB1_601	-0.010378698	0.001895644	-0.034218452
DRB1_1502	-0.01073193	0.002699191	-0.034552948
DPB1_202	-0.02069876	-0.020940441	-0.035403418
A_3002	-0.013026949	-0.022381445	-0.035440272
A_2301	-0.044260315	-0.075791756	-0.036863361
DPB1_201	-0.022274401	-0.008783662	-0.037096306
DRB1_1601	-0.017340249	-0.004360177	-0.037915484
DPB1_1701	-0.001181538	-0.009018505	-0.038017553
DQB1_502	-0.019927328	-0.003849508	-0.040852991
DRB1_1303	-0.042903166	-0.031246093	-0.041060156
C_1203	-0.032289812	-0.034580068	-0.041164381
DQB1_609	-0.017765227	-0.021942656	-0.042035232
DPB1_402	-0.011574459	-0.01392204	-0.042119589
DRB5_202	-0.014415908	-0.004828558	-0.043305295
DRB1_102	0.006554673	-0.029188541	-0.045499229
B_1302	-0.027685364	-0.053502146	-0.046298904
DPA1_202	0.0104692	0.034360565	-0.047292932
DRB1_901	-0.012412046	-0.00344446	-0.049754594
B_1801	-0.032370976	-0.04648888	-0.049968316
DRB1_1104	-0.024012004	-0.007664056	-0.050054204
C_102	-0.029705542	0.033349175	-0.050545452
B_3501	-0.041654449	-0.068204075	-0.052288178
B_1402	-0.038672646	-0.054876645	-0.054651741
C_401	-0.050196714	-0.058044691	-0.055808657
DPB1_1101	-0.032476496	-0.025828491	-0.058506881
DQB1_402	0.004267822	0.03576112	-0.059790997
DRB1_1201	-0.003577616	0.053633697	-0.060306881
C_802	-0.041450708	-0.058595864	-0.060501862
B_5701	-0.027630295	-0.069828219	-0.061806865
C_602	-0.042720008	-0.080307105	-0.065024348
DRB1_1401	-0.022210848	-0.01036763	-0.065318526
DRB1_801	0.001579949	0.032567194	-0.065463628
DQA1_401	0.004740383	0.037610703	-0.069289925
C_1601	-0.024553683	-0.079466703	-0.070066763
DRB1_103	-0.030182828	0.013932897	-0.07062658
DQB1_503	-0.020971879	-0.012495034	-0.072775586
B_702	-0.086309162	-0.012351492	-0.074816243
C_702	-0.084390453	-0.01912262	-0.076998567
DQB1_604	-0.03583569	0.056876865	-0.077583052
DPB1_101	0.117933146	-0.046129008	-0.079912538
B_4403	-0.034151018	-0.090505379	-0.085550807
DRB3_301	-0.038155452	0.036813025	-0.087056206
DRB1_1302	-0.040014053	0.036964891	-0.087790144
DRB1_1101	-0.013010136	-0.018006921	-0.091328364
DRB1_1301	-0.008716986	0.014209454	-0.10514346
DRB4_101	-0.033675736	-0.045832129	-0.106596378
DQB1_603	-0.00913041	0.011527088	-0.108364058
DQA1_103	-0.011042862	0.01454641	-0.109747291
DPA1_201	0.042484393	-0.04745142	-0.110419911
DQB1_303	-0.021526168	-0.041795452	-0.117661537
A_101	0.405300145	-0.279725485	-0.118708265
C_701	0.357573716	-0.154684031	-0.13478236
B_801	0.389295823	-0.170905092	-0.142107862
DRB1_101	-0.025210396	0.000660597	-0.156234967
DQB1_202	-0.040497726	-0.045123242	-0.17458633
DQB1_501	-0.032845942	-0.010455719	-0.180799283
DRB3_202	-0.037897328	-0.00968917	-0.1899524
DQB1_201	0.278278124	-0.139593006	-0.197501457
DQA1_101	-0.038487776	-0.015474332	-0.198678562
DQB1_602	-0.059642361	-0.010248054	-0.199357349
DRB5_101	-0.063546542	-0.009238378	-0.200338336
DRB1_1501	-0.063322268	-0.009447186	-0.20084887
DRB1_301	0.283839592	-0.142456372	-0.20390334
DRB1_701	-0.046271989	-0.065891708	-0.206328938
DQA1_201	-0.045680795	-0.065388299	-0.207481817
DRB3_101	0.265502216	-0.124316309	-0.211694315
DQA1_102	-0.079613632	0.007915055	-0.234738144
DQA1_501	0.213621974	-0.115444166	-0.265558239
DRB4_9901	0.089819975	-0.084807193	-0.624406109
A_210	NA	NA	NA
A_214	NA	NA	NA
A_216	NA	NA	NA
A_264	NA	NA	NA
A_2603	NA	NA	NA
A_3103	NA	NA	NA
A_3601	NA	NA	NA
A_4027	NA	NA	NA
A_4386	NA	NA	NA
A_6602	NA	NA	NA
A_6817	NA	NA	NA
B_1504	NA	NA	NA
B_1506	NA	NA	NA
B_1509	NA	NA	NA
B_1511	NA	NA	NA
B_1512	NA	NA	NA
B_1513	NA	NA	NA
B_1515	NA	NA	NA
B_1520	NA	NA	NA
B_1521	NA	NA	NA
B_1526	NA	NA	NA
B_1530	NA	NA	NA
B_1531	NA	NA	NA
B_1537	NA	NA	NA
B_1802	NA	NA	NA
B_1804	NA	NA	NA
B_2706	NA	NA	NA
B_3504	NA	NA	NA
B_3510	NA	NA	NA
B_3517	NA	NA	NA
B_3519	NA	NA	NA
B_3802	NA	NA	NA
B_3903	NA	NA	NA
B_3905	NA	NA	NA
B_3908	NA	NA	NA
B_3911	NA	NA	NA
B_3915	NA	NA	NA
B_4004	NA	NA	NA
B_4010	NA	NA	NA
B_4104	NA	NA	NA
B_4407	NA	NA	NA
B_4802	NA	NA	NA
B_4803	NA	NA	NA
B_5102	NA	NA	NA
B_5603	NA	NA	NA
B_5604	NA	NA	NA
B_7020	NA	NA	NA
B_7801	NA	NA	NA
B_8202	NA	NA	NA
C_407	NA	NA	NA
C_726	NA	NA	NA
DRB5_102	NA	NA	NA
DRB1_1106	NA	NA	NA
DRB1_1143	NA	NA	NA
DRB1_1315	NA	NA	NA
DRB1_1407	NA	NA	NA
DRB1_1409	NA	NA	NA
DRB1_1444	NA	NA	NA
DPB1_902	NA	NA	NA
DPB1_2201	NA	NA	NA
DPB1_2801	NA	NA	NA
DPB1_3001	NA	NA	NA
DPB1_3101	NA	NA	NA
DPB1_3401	NA	NA	NA
DPB1_4001	NA	NA	NA
DPB1_4801	NA	NA	NA
DPB1_8101	NA	NA	NA
DPB1_8501	NA	NA	NA
DPA1_107	NA	NA	NA
DPA1_401	NA	NA	NA
