MarkerName	Freq1	FreqSE	MinFreq	MaxFreq	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
DPA1_201	0.1468	0.0007	0.1463	0.1479	-0.0307	0.0296	0.301	--	0	0.033	1	0.8563
A_3001	0.01	0.0001	0.0099	0.01	0.1026	0.0993	0.3017	+-	72.3	3.613	1	0.05733
C_1601	0.0446	0.0002	0.0445	0.0449	0.0503	0.0497	0.3122	++	0	0.144	1	0.7042
A_6801	0.0302	0.0005	0.0294	0.0306	0.06	0.0597	0.3145	++	0	0.565	1	0.4523
DQB1_301	0.1769	0.0003	0.1767	0.1774	-0.0274	0.0275	0.3194	--	0	0.279	1	0.5974
DPB1_301	0.1132	0.0005	0.1129	0.114	-0.0362	0.0369	0.3278	--	0	0.013	1	0.9076
C_701	0.1769	0.0002	0.1766	0.177	-0.0268	0.0276	0.3319	-+	60.4	2.525	1	0.1121
C_303	0.0568	0.0002	0.0567	0.0572	0.0436	0.0451	0.3337	-+	0	0.407	1	0.5235
DRB1_407	0.0113	0.0001	0.0112	0.0115	-0.1235	0.1284	0.3361	--	0	0.906	1	0.3413
A_2601	0.0199	0.0003	0.0198	0.0204	0.0724	0.0767	0.3452	-+	14.6	1.171	1	0.2792
C_304	0.0809	0.0001	0.0808	0.081	-0.0361	0.0386	0.3492	--	0	0.047	1	0.829
DQB1_501	0.1204	0.0005	0.1201	0.1213	0.029	0.0318	0.3626	-+	58.9	2.432	1	0.1189
DPA1_103	0.8157	0	0.8156	0.8157	0.0242	0.027	0.3692	++	0	0.101	1	0.7509
A_101	0.1947	0.0006	0.1943	0.1956	-0.0236	0.0265	0.3737	--	0	0.019	1	0.8917
DRB4_101	0.0853	0.0001	0.0852	0.0854	0.0332	0.0382	0.3849	-+	0	0.442	1	0.5062
DRB1_1201	0.0148	0	0.0148	0.0148	0.0737	0.0853	0.3878	++	0	0.219	1	0.6398
DQB1_201	0.151	0.001	0.1504	0.1526	-0.0253	0.0294	0.3893	--	0	0.002	1	0.9632
DRB1_1101	0.0385	0.0002	0.0384	0.0389	-0.0506	0.06	0.3993	--	0	0.261	1	0.6094
DRB3_101	0.1683	0.0007	0.1678	0.1693	-0.022	0.028	0.4322	--	0	0.003	1	0.953
DPB1_201	0.1137	0.0004	0.1132	0.114	0.0258	0.0343	0.4529	++	0	0.273	1	0.6016
DRB1_301	0.1494	0.0008	0.1488	0.1507	-0.0206	0.0294	0.4849	--	0	0.096	1	0.757
DPB1_401	0.4436	0.0001	0.4435	0.4437	0.0135	0.0214	0.5272	++	0	0.286	1	0.5931
B_1401	0.0113	0.0002	0.0112	0.0118	0.0975	0.1554	0.5302	++	0	0.044	1	0.8343
DQB1_609	0.0103	0.0002	0.0101	0.0104	0.0632	0.1019	0.535	+-	0	0.953	1	0.329
C_102	0.034	0.0001	0.0339	0.0341	-0.0347	0.0581	0.55	+-	0	0.645	1	0.4218
C_704	0.0176	0.0002	0.0175	0.0179	-0.0477	0.0804	0.5533	--	0	0.072	1	0.7882
DPB1_601	0.0144	0.0001	0.0142	0.0144	-0.0691	0.1182	0.5588	--	0	0.866	1	0.3521
B_1402	0.0254	0.0001	0.0253	0.0256	0.0603	0.1045	0.5636	++	0	0.037	1	0.8473
C_1203	0.0284	0.0002	0.0282	0.0287	-0.0344	0.0635	0.5876	--	0	0.043	1	0.8364
A_3201	0.035	0.0004	0.0347	0.0356	-0.0306	0.0579	0.5972	-+	35.1	1.541	1	0.2145
C_401	0.0827	0.0003	0.0823	0.0829	0.0197	0.0376	0.5993	+-	21.5	1.274	1	0.259
A_301	0.1448	0.0001	0.1446	0.1449	-0.0147	0.0296	0.6202	+-	0	0.341	1	0.5595
C_602	0.0898	0.0003	0.0894	0.09	-0.0178	0.0365	0.6262	--	0	0.093	1	0.7609
DRB1_101	0.0949	0.0008	0.0944	0.0962	0.0174	0.036	0.629	-+	84.2	6.328	1	0.01188
DRB1_1301	0.0509	0.0002	0.0508	0.0512	-0.0224	0.0482	0.6416	-+	70.9	3.434	1	0.06388
B_5101	0.0377	0.0001	0.0377	0.0379	-0.0255	0.056	0.6495	--	0	0.031	1	0.8591
B_4901	0.0116	0.0001	0.0116	0.0117	0.0434	0.0982	0.6588	-+	74.3	3.896	1	0.04839
B_5501	0.0186	0.0001	0.0185	0.0187	-0.0318	0.0773	0.6807	+-	76.3	4.216	1	0.04005
A_1101	0.0605	0.0003	0.0601	0.0606	-0.0155	0.0439	0.7239	+-	0	0.846	1	0.3578
DQA1_103	0.0551	0.0001	0.055	0.0552	-0.0161	0.0463	0.7282	-+	72.5	3.631	1	0.0567
DRB3_202	0.1348	0.0005	0.1345	0.1354	-0.0103	0.0309	0.7376	-+	0	0.706	1	0.4007
B_3501	0.0483	0.0001	0.0483	0.0484	-0.0158	0.0503	0.7532	--	0	0.221	1	0.6385
DQB1_303	0.0525	0.0001	0.0524	0.0525	0.0141	0.0465	0.7624	++	0	0.012	1	0.9112
A_3101	0.0269	0.0001	0.0269	0.027	0.0184	0.0645	0.7751	-+	38.2	1.619	1	0.2033
B_5701	0.0394	0.0002	0.0393	0.0397	0.0137	0.0534	0.7969	-+	0	0.751	1	0.3863
DRB1_901	0.0132	0.0002	0.0129	0.0133	0.0234	0.0913	0.798	-+	0	0.378	1	0.5385
DPB1_1101	0.0264	0.0001	0.0263	0.0265	-0.0161	0.0654	0.8057	--	0	0.009	1	0.9236
DPB1_101	0.0601	0.0004	0.0599	0.0606	-0.0107	0.044	0.8079	+-	0	0.397	1	0.5285
A_201	0.2776	0.0001	0.2775	0.2778	-0.0057	0.0235	0.8096	-+	0	0.166	1	0.6838
DPA1_202	0.0307	0.0004	0.0305	0.0314	-0.0232	0.0991	0.8148	--	0	0.006	1	0.9378
DRB3_9901	0.658	0.0008	0.6568	0.6586	0.0052	0.022	0.8152	++	0	0.001	1	0.972
B_1501	0.0648	0.0002	0.0645	0.0649	0.0092	0.0432	0.8318	-+	19.3	1.239	1	0.2657
DQA1_101	0.1419	0.0004	0.1417	0.1426	0.0063	0.0299	0.8338	-+	50.6	2.026	1	0.1546
C_802	0.0362	0.0004	0.0356	0.0364	0.0111	0.0557	0.8427	+-	0	0.173	1	0.6775
B_2705	0.0404	0.0003	0.0402	0.0408	0.0104	0.054	0.8473	-+	22.2	1.286	1	0.2568
DPB1_1701	0.011	0.0001	0.0109	0.0111	-0.0135	0.0993	0.8922	+-	0	0.237	1	0.6265
DPB1_1001	0.017	0.0002	0.0167	0.0171	0.0071	0.0839	0.9325	+-	0	0.042	1	0.8372
A_2402	0.0745	0.0001	0.0744	0.0747	-0.0026	0.0402	0.9476	+-	0	0.057	1	0.8114
DQA1_501	0.2335	0.0006	0.2331	0.2344	-0.0016	0.025	0.9492	-+	0	0.048	1	0.8271
DPB1_1301	0.0151	0.0001	0.015	0.0151	0.0012	0.0857	0.9884	+-	0	0.01	1	0.9197
